sentiment,anger,sadness,disgust,joy,fear
-0.754506,0.319095,0.629868,0.072445,0.007016,0.326677
-0.999439,0.293939,0.80431,0.089676,0.006307,0.097286
-0.604101,0.672124,0.205591,0.115967,0.542888,0.569669
-0.801629,0.11873,0.639758,0.073231,0.088998,0.685392
-0.836883,0.243679,0.817651,0.05143,0.022725,0.104982
-0.54032,0.147329,0.658262,0.076003,0.566666,0.102836
-0.411875,0.008862,0.157049,0.004083,0.051793,0.884507
-0.731063,0.135655,0.640423,0.689634,0.523686,0.61377
-0.922365,0.146627,0.73518,0.238302,0.008904,0.197799
-0.470496,0.057654,0.694175,0.043511,0.098957,0.336964
-0.396692,0.106078,0.595332,0.058992,0.572135,0.509358
-0.888761,0.69153,0.633457,0.154416,0.597456,0.143745
-0.926601,0.161335,0.798949,0.037073,0.026631,0.226841
-0.999898,0.460521,0.479581,0.322535,0.007408,0.118697
-0.904682,0.670898,0.186132,0.307808,0.080736,0.061895
-0.734494,0.064536,0.92429,0.013027,0.032929,0.113406
-0.525574,0.573602,0.605343,0.091564,0.518084,0.162728
-0.503962,0.097394,0.73924,0.051377,0.539604,0.125473
-0.792622,0.08157,0.875165,0.011909,0.012373,0.22954
-0.790776,0.109287,0.666585,0.038652,0.165938,0.18111
-0.647495,0.439365,0.685677,0.08467,0.569036,0.165366
-0.743961,0.169964,0.606521,0.095896,0.427176,0.152533
-0.860913,0.5794,0.650319,0.108409,0.415646,0.128719
-0.995467,0.308243,0.726539,0.068509,0.006515,0.206946
-0.9999,0.623842,0.32621,0.349442,0.006069,0.036635
-0.842983,0.615811,0.598979,0.160609,0.532471,0.089992
-0.748034,0.486799,0.66602,0.085073,0.077525,0.198159
-0.93169,0.627827,0.618588,0.586102,0.083323,0.119166
0,0,0,0,0,0
-0.559768,0.142519,0.644168,0.097247,0.535285,0.131672
-0.759959,0.118893,0.692374,0.125333,0.514758,0.115583
-0.789492,0.75193,0.244335,0.200906,0.018854,0.115278
-0.778011,0.118418,0.737349,0.080636,0.05631,0.19774
-0.482091,0.117168,0.596252,0.070251,0.5811,0.107636
-0.821277,0.639541,0.715015,0.713919,0.452635,0.686194
-0.786157,0.384701,0.524678,0.104039,0.006223,0.365651
-0.946173,0.618205,0.677413,0.138041,0.064488,0.183044
-0.721637,0.56281,0.699578,0.088602,0.522373,0.44556
